phase, worked
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|20|14|15|16|19|17|23|22,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|19|22|21|20|16|14|18|17,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|20|23|18|22|19|21|14|17,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|15|16|17|22|21|20|19|14,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|16|18|17|22|21|14|15|23,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|18|22|20|23|19|17|16,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|15|17|22|21|18|23|16|14,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|16|22|17|23|15|14|21|19,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|15|18|19|21|16|23|20|22,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|18|16|20|14|15|22|19|23,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|15|14|18|22|21|23|16|17,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|22|19|18|21|23|16|14|15,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|21|23|22|20|15|14|16|19,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|17|19|22|23|16|14|15|18,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|17|19|21|14|16|22|23|15,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|19|22|14|17|18|23|21|20,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|18|23|14|16|21|22|17|20,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|23|16|14|21|17|19|18|20,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|22|16|17|18|15|20|19|14,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|22|19|21|14|18|15|20|17,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|14|23|20|18|17|22|21|16,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|23|18|16|17|22|21|19|20,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|15|17|20|14|21|22|18|23,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|14|23|17|15|21|16|18|19,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|16|14|22|23|20|19|17|18,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|18|23|17|21|19|15|20|16,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|20|16|19|14|17|23|22|15,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|14|23|17|19|21|20|18|16,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|17|15|14|19|20|18|23|22,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|15|19|23|14|20|17|18|22,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|21|17|16|23|19|14|15|20,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|16|19|14|23|21|18|20,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|15|23|19|21|17|16|18|14,0
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|22|14|21|17|23|19|18|15,1
0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|21|17|19|23|15|14|18|16,0
